date,week,month,season,is_holiday,promo_event
2022-01-01,52,1,Q1,1,No Promotion
2022-01-02,52,1,Q1,0,No Promotion
2022-01-03,1,1,Q1,0,No Promotion
2022-01-04,1,1,Q1,0,No Promotion
2022-01-05,1,1,Q1,0,No Promotion
2022-01-06,1,1,Q1,0,No Promotion
2022-01-07,1,1,Q1,0,No Promotion
2022-01-08,1,1,Q1,0,No Promotion
2022-01-09,1,1,Q1,0,No Promotion
2022-01-10,2,1,Q1,0,No Promotion
2022-01-11,2,1,Q1,0,No Promotion
2022-01-12,2,1,Q1,0,No Promotion
2022-01-13,2,1,Q1,0,No Promotion
2022-01-14,2,1,Q1,0,No Promotion
2022-01-15,2,1,Q1,0,No Promotion
2022-01-16,2,1,Q1,0,No Promotion
2022-01-17,3,1,Q1,0,No Promotion
2022-01-18,3,1,Q1,0,No Promotion
2022-01-19,3,1,Q1,0,No Promotion
2022-01-20,3,1,Q1,0,No Promotion
2022-01-21,3,1,Q1,0,No Promotion
2022-01-22,3,1,Q1,0,No Promotion
2022-01-23,3,1,Q1,0,Payday Bonanza; Spring Savings Event
2022-01-24,4,1,Q1,0,Payday Bonanza; Spring Savings Event
2022-01-25,4,1,Q1,0,Payday Bonanza; Spring Savings Event
2022-01-26,4,1,Q1,0,Payday Bonanza; Spring Savings Event
2022-01-27,4,1,Q1,0,Payday Bonanza; Spring Savings Event
2022-01-28,4,1,Q1,0,Payday Bonanza; Spring Savings Event
2022-01-29,4,1,Q1,0,Payday Bonanza; Spring Savings Event
2022-01-30,4,1,Q1,0,Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-01-31,5,1,Q1,0,Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-01,5,2,Q1,0,Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-02,5,2,Q1,0,Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-03,5,2,Q1,0,Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-04,5,2,Q1,0,Mega Blowout; Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-05,5,2,Q1,0,Mega Blowout; Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-06,5,2,Q1,0,Mega Blowout; Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-07,6,2,Q1,0,Mega Blowout; Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-08,6,2,Q1,0,Mega Blowout; Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-09,6,2,Q1,0,Mega Blowout; Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-10,6,2,Q1,0,Mega Blowout; Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-11,6,2,Q1,0,Mega Blowout; Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-12,6,2,Q1,0,Mega Blowout; Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-13,6,2,Q1,0,Mega Blowout; Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-14,7,2,Q1,0,Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-15,7,2,Q1,0,Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-16,7,2,Q1,0,Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-17,7,2,Q1,0,Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-18,7,2,Q1,0,Grand Blowout; Weekend Blowout; Spring Savings Event; Mid-Season Offer
2022-02-19,7,2,Q1,0,Grand Blowout; Weekend Blowout; Mid-Season Offer
2022-02-20,7,2,Q1,0,Grand Blowout; Weekend Blowout
2022-02-21,8,2,Q1,0,Grand Blowout; Weekend Blowout
2022-02-22,8,2,Q1,0,Grand Blowout; Weekend Blowout
2022-02-23,8,2,Q1,0,Grand Blowout; Weekend Blowout
2022-02-24,8,2,Q1,0,Grand Blowout; Weekend Blowout
2022-02-25,8,2,Q1,0,Grand Blowout
2022-02-26,8,2,Q1,0,Grand Blowout
2022-02-27,8,2,Q1,0,Grand Blowout
2022-02-28,9,2,Q1,0,Grand Blowout; Flash Deal Days
2022-03-01,9,3,Q1,0,Grand Blowout; Flash Deal Days
2022-03-02,9,3,Q1,0,Grand Blowout; Flash Deal Days
2022-03-03,9,3,Q1,0,Grand Blowout; Flash Deal Days
2022-03-04,9,3,Q1,0,Flash Deal Days
2022-03-05,9,3,Q1,0,Flash Deal Days
2022-03-06,9,3,Q1,0,Flash Deal Days
2022-03-07,10,3,Q1,0,Flash Deal Days
2022-03-08,10,3,Q1,0,Flash Deal Days
2022-03-09,10,3,Q1,0,Flash Deal Days
2022-03-10,10,3,Q1,0,Flash Deal Days
2022-03-11,10,3,Q1,0,Flash Deal Days
2022-03-12,10,3,Q1,0,Flash Deal Days
2022-03-13,10,3,Q1,0,Flash Deal Days
2022-03-14,11,3,Q1,0,Flash Deal Days
2022-03-15,11,3,Q1,0,Flash Deal Days
2022-03-16,11,3,Q1,0,Flash Deal Days
2022-03-17,11,3,Q1,0,Flash Deal Days
2022-03-18,11,3,Q1,0,Flash Deal Days
2022-03-19,11,3,Q1,0,Flash Deal Days
2022-03-20,11,3,Q1,0,Flash Deal Days
2022-03-21,12,3,Q1,0,Flash Deal Days
2022-03-22,12,3,Q1,0,Flash Deal Days
2022-03-23,12,3,Q1,0,Flash Deal Days
2022-03-24,12,3,Q1,0,Flash Deal Days
2022-03-25,12,3,Q1,0,Flash Deal Days
2022-03-26,12,3,Q1,0,Flash Deal Days
2022-03-27,12,3,Q1,0,Flash Deal Days
2022-03-28,13,3,Q1,0,No Promotion
2022-03-29,13,3,Q1,0,No Promotion
2022-03-30,13,3,Q1,0,No Promotion
2022-03-31,13,3,Q1,0,No Promotion
2022-04-01,13,4,Q2,0,No Promotion
2022-04-02,13,4,Q2,0,No Promotion
2022-04-03,13,4,Q2,0,No Promotion
2022-04-04,14,4,Q2,0,No Promotion
2022-04-05,14,4,Q2,0,No Promotion
2022-04-06,14,4,Q2,0,No Promotion
2022-04-07,14,4,Q2,0,No Promotion
2022-04-08,14,4,Q2,0,No Promotion
2022-04-09,14,4,Q2,0,No Promotion
2022-04-10,14,4,Q2,0,No Promotion
2022-04-11,15,4,Q2,0,No Promotion
2022-04-12,15,4,Q2,0,No Promotion
2022-04-13,15,4,Q2,0,No Promotion
2022-04-14,15,4,Q2,0,No Promotion
2022-04-15,15,4,Q2,0,No Promotion
2022-04-16,15,4,Q2,0,No Promotion
2022-04-17,15,4,Q2,0,No Promotion
2022-04-18,16,4,Q2,0,Flash Deal Days
2022-04-19,16,4,Q2,0,Flash Deal Days
2022-04-20,16,4,Q2,0,Flash Deal Days
2022-04-21,16,4,Q2,0,Flash Deal Days
2022-04-22,16,4,Q2,0,Flash Deal Days
2022-04-23,16,4,Q2,0,Flash Deal Days
2022-04-24,16,4,Q2,0,Flash Deal Days
2022-04-25,17,4,Q2,0,Flash Deal Days
2022-04-26,17,4,Q2,0,Flash Deal Days
2022-04-27,17,4,Q2,0,Flash Sale; Flash Deal Days
2022-04-28,17,4,Q2,0,Flash Sale; Flash Deal Days
2022-04-29,17,4,Q2,0,Flash Sale; Flash Deal Days
2022-04-30,17,4,Q2,0,Flash Sale; Flash Deal Days
2022-05-01,17,5,Q2,1,Flash Sale; Flash Deal Days
2022-05-02,18,5,Q2,0,Flash Sale; Flash Deal Days
2022-05-03,18,5,Q2,0,Flash Sale; Flash Deal Days
2022-05-04,18,5,Q2,0,Flash Sale; Flash Deal Days
