date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-05-06,SKU00024,301,0,7,88
2025-05-06,SKU00069,412,0,7,96
2025-05-06,SKU00173,244,0,7,60
2025-05-06,SKU00262,145,0,7,39
2025-05-06,SKU00331,279,0,7,59
2025-05-06,SKU00342,158,0,7,34
2025-05-06,SKU00386,204,0,7,55
2025-05-06,SKU00551,476,0,7,97
2025-05-06,SKU00662,206,0,7,55
2025-05-06,SKU00699,626,0,7,129
2025-05-06,SKU00821,197,0,7,43
2025-05-06,SKU00890,133,0,7,23
2025-05-06,SKU00965,118,0,7,23
2025-05-06,SKU00987,234,0,7,66
2025-05-06,SKU00991,455,0,7,95
2025-05-06,SKU01031,309,0,7,99
2025-05-06,SKU01158,507,0,7,99
2025-05-06,SKU01174,515,0,7,92
2025-05-06,SKU01224,446,0,7,92
2025-05-06,SKU01229,265,0,7,70
2025-05-06,SKU01340,260,0,7,56
2025-05-06,SKU01347,175,0,7,32
2025-05-06,SKU01396,322,0,7,60
2025-05-06,SKU01542,458,0,7,89
2025-05-06,SKU01558,247,0,7,56
2025-05-06,SKU01567,514,0,7,87
2025-05-06,SKU01605,195,0,7,50
2025-05-06,SKU01674,256,0,7,52
2025-05-06,SKU01675,184,0,7,56
2025-05-06,SKU01696,309,0,7,70
2025-05-06,SKU01762,252,0,7,80
2025-05-06,SKU01766,249,0,7,65
2025-05-06,SKU01792,117,0,7,37
2025-05-06,SKU01805,147,0,7,27
2025-05-06,SKU01834,507,0,7,92
2025-05-06,SKU01854,292,0,7,87
2025-05-06,SKU01877,449,0,7,112
2025-05-06,SKU01903,155,0,7,37
2025-05-06,SKU01970,69,0,7,20
2025-05-06,SKU02070,450,0,7,85
2025-05-06,SKU02172,163,0,7,54
2025-05-06,SKU02211,118,0,7,21
2025-05-06,SKU02302,264,0,7,81
2025-05-06,SKU02331,494,0,7,83
2025-05-06,SKU02376,258,0,7,66
2025-05-06,SKU02387,484,0,7,100
2025-05-06,SKU02500,463,0,7,91
2025-05-06,SKU02514,178,0,7,30
2025-05-06,SKU02567,72,0,7,21
2025-05-06,SKU02662,312,0,7,94
2025-05-06,SKU02675,203,0,7,66
2025-05-06,SKU02700,121,0,7,37
2025-05-06,SKU02728,331,0,7,97
2025-05-06,SKU02768,126,0,7,26
2025-05-06,SKU02822,373,0,7,68
2025-05-06,SKU03005,467,0,7,87
2025-05-06,SKU03089,99,0,7,31
2025-05-06,SKU03092,175,0,7,37
2025-05-06,SKU03235,237,0,7,40
2025-05-06,SKU03254,504,0,7,127
2025-05-06,SKU03257,308,0,7,65
2025-05-06,SKU03414,139,0,7,31
2025-05-06,SKU03428,362,0,7,85
2025-05-06,SKU03520,71,0,7,20
2025-05-06,SKU03523,978,0,7,193
2025-05-06,SKU03548,264,0,7,72
2025-05-06,SKU03562,517,0,7,106
2025-05-06,SKU03624,131,0,7,26
2025-05-06,SKU03833,113,0,7,34
2025-05-06,SKU03863,257,0,7,79
2025-05-06,SKU03884,155,0,7,38
2025-05-06,SKU03892,167,0,7,51
2025-05-06,SKU03935,746,0,7,156
2025-05-06,SKU04018,451,0,7,93
2025-05-06,SKU04152,379,0,7,84
2025-05-06,SKU04212,241,0,7,52
2025-05-06,SKU04222,260,0,7,81
2025-05-06,SKU04281,196,0,7,60
2025-05-06,SKU04319,211,0,7,52
2025-05-06,SKU04401,148,0,7,32
2025-05-06,SKU04412,375,0,7,76
2025-05-06,SKU04443,180,0,7,37
2025-05-06,SKU04643,174,0,7,35
2025-05-06,SKU04652,258,0,7,46
2025-05-06,SKU04679,190,0,7,54
2025-05-06,SKU04753,489,0,7,91
2025-05-06,SKU04768,93,0,7,22
2025-05-06,SKU04771,364,0,7,63
2025-05-06,SKU04894,90,0,7,23
2025-05-06,SKU04941,180,0,7,44
2025-05-06,SKU04996,490,0,7,121
2025-05-07,SKU00069,321,0,7,68
2025-05-07,SKU00167,195,0,7,56
2025-05-07,SKU00237,144,0,7,39
2025-05-07,SKU00342,637,0,7,126
2025-05-07,SKU00354,110,0,7,34
2025-05-07,SKU00355,579,0,7,120
2025-05-07,SKU00386,114,0,7,20
2025-05-07,SKU00389,1348,0,7,259
2025-05-07,SKU00462,146,0,7,48
2025-05-07,SKU00498,317,0,7,64
2025-05-07,SKU00550,503,0,7,117
2025-05-07,SKU00551,76,0,7,22
2025-05-07,SKU00571,180,0,7,36
2025-05-07,SKU00585,296,0,7,55
2025-05-07,SKU00631,184,0,7,40
2025-05-07,SKU00645,236,0,7,57
2025-05-07,SKU00649,112,0,7,34
2025-05-07,SKU00935,175,0,7,50
2025-05-07,SKU00991,141,0,7,26
2025-05-07,SKU01063,353,0,7,74
2025-05-07,SKU01068,528,0,7,95
2025-05-07,SKU01264,154,0,7,28
2025-05-07,SKU01287,186,0,7,48
2025-05-07,SKU01337,98,0,7,21
2025-05-07,SKU01340,248,0,7,48
2025-05-07,SKU01396,383,0,7,86
2025-05-07,SKU01423,199,0,7,54
2025-05-07,SKU01428,229,0,7,61
2025-05-07,SKU01433,428,0,7,89
2025-05-07,SKU01495,219,0,7,52
2025-05-07,SKU01538,317,0,7,56
2025-05-07,SKU01567,342,0,7,83
2025-05-07,SKU01582,120,0,7,31
2025-05-07,SKU01605,264,0,7,79
2025-05-07,SKU01645,107,0,7,22
2025-05-07,SKU01675,439,0,7,77
2025-05-07,SKU01678,200,0,7,42
2025-05-07,SKU01684,132,0,7,30
2025-05-07,SKU01770,392,0,7,92
2025-05-07,SKU01805,289,0,7,72
2025-05-07,SKU01851,455,0,7,102
2025-05-07,SKU01877,261,0,7,53
2025-05-07,SKU01880,333,0,7,90
2025-05-07,SKU01970,315,0,7,65
2025-05-07,SKU01971,317,0,7,67
2025-05-07,SKU02103,351,0,7,87
2025-05-07,SKU02104,347,0,7,85
2025-05-07,SKU02129,272,0,7,69
2025-05-07,SKU02302,245,0,7,51
