sku_id,category,subcategory,date,on_hand_units,on_order_units,lead_time_days,reorder_point,lead_time_demand,forecast_horizon_demand,forecast_horizon_lower,forecast_horizon_upper,available_units,stockout_required_units,stockout_gap_units,overstock_threshold_units,excess_units,stockout_risk,overstock_risk,decision_quadrant,recommended_action,unit_cost,list_price,sales_at_risk_rupees,locked_capital_rupees,priority_value_rupees,stockout_score_units,overstock_score_units
SKU04321,Personal Care,Hair Care,2025-12-29,260,0,7,93,4239.111482544543,64255.22757642933,64150.489526304285,64368.71555109507,260,4332.111482544543,4072.111482544543,96382.841364644,0.0,True,False,Reorder Now,Raise replenishment order,658.32,961.3,3914520.768170069,0.0,3914520.768170069,4072.111482544543,0.0
SKU03941,Electronics & Accessories,Batteries,2025-08-22,780,0,7,148,5.002895122460512,74.00767045338513,0.0,187.49564511911953,780,153.0028951224605,0.0,111.0115056800777,668.9884943199223,False,True,Markdown / Clear,Review markdown / clearance,1578.53,2059.71,0.0,1056018.407938827,1056018.407938827,0.0,668.9884943199223
SKU01971,Apparel & Footwear,Kids Wear,2025-08-14,791,0,7,199,5.121231420478139,75.34474882570703,0.0,188.83272349144144,791,204.12123142047813,0.0,113.01712323856054,677.9828767614395,False,True,Markdown / Clear,Review markdown / clearance,1369.13,2455.1,0.0,928246.6960603896,928246.6960603896,0.0,677.9828767614395
SKU03727,Electronics & Accessories,Mobile Accessories,2025-11-24,102,0,7,45,534.7183700737836,8855.223260428724,8750.48521030368,8968.711235094457,102,579.7183700737836,477.7183700737836,13282.834890643086,0.0,True,False,Reorder Now,Raise replenishment order,1291.18,1660.93,793456.7724066494,0.0,793456.7724066494,477.7183700737836,0.0
SKU04062,Electronics & Accessories,Mobile Accessories,2025-09-02,397,0,7,69,5.671788846504932,77.97258502219053,0.0,191.46055968792493,397,74.67178884650494,0.0,116.9588775332858,280.0411224667142,False,True,Markdown / Clear,Review markdown / clearance,2728.94,3430.14,0.0,764215.4207443151,764215.4207443151,0.0,280.0411224667142
SKU03150,Apparel & Footwear,Women's Wear,2025-09-02,339,0,7,79,4.927482065600044,71.27290583499372,0.0,184.76088050072812,339,83.92748206560005,0.0,106.90935875249059,232.0906412475094,False,True,Markdown / Clear,Review markdown / clearance,2742.62,3570.59,0.0,636536.4344982442,636536.4344982442,0.0,232.0906412475094
SKU01174,Home & Kitchen,Home Decor,2025-08-20,459,0,7,97,5.151776946908675,73.2056303202518,0.0,186.6936049859862,459,102.15177694690867,0.0,109.8084454803777,349.1915545196223,False,True,Markdown / Clear,Review markdown / clearance,1462.83,1964.02,0.0,510807.88169793907,510807.88169793907,0.0,349.1915545196223
SKU00024,Electronics & Accessories,Batteries,2025-08-29,398,0,7,96,5.823150458528671,80.60235891664924,0.0,194.09033358238364,398,101.82315045852867,0.0,120.90353837497386,277.0964616250261,False,True,Markdown / Clear,Review markdown / clearance,1671.96,2711.05,0.0,463294.19997857866,463294.19997857866,0.0,277.0964616250261
SKU04329,Home & Kitchen,Cookware,2025-10-11,0,93,7,93,176.1195897025199,2264.5997962940332,2159.8617461689896,2378.0877709597676,93,269.1195897025199,176.11958970251987,3396.89969444105,0.0,True,False,Reorder Now,Raise replenishment order,1697.55,2452.07,431857.56232185796,0.0,431857.56232185796,176.11958970251987,0.0
SKU03833,Electronics & Accessories,Small Appliances,2025-08-31,461,0,7,88,5.290956311103314,73.39323479251235,0.0,186.88120945824676,461,93.29095631110332,0.0,110.08985218876852,350.91014781123147,False,True,Markdown / Clear,Review markdown / clearance,1179.22,2097.29,0.0,413800.26450196037,413800.26450196037,0.0,350.91014781123147
SKU04879,Electronics & Accessories,Small Appliances,2025-08-18,513,0,7,97,4.42559014124175,75.46294333434383,0.0,188.95091800007825,513,101.42559014124176,0.0,113.19441500151575,399.8055849984843,False,True,Markdown / Clear,Review markdown / clearance,1032.44,1631.86,0.0,412775.27817583515,412775.27817583515,0.0,399.8055849984843
SKU04596,Dairy & Bakery,Eggs,2025-10-11,0,60,7,60,1140.1899343696184,15107.054451901171,15002.316401776128,15220.542426566906,60,1200.1899343696184,1140.1899343696184,22660.581677851755,0.0,True,False,Reorder Now,Raise replenishment order,242.79,335.55,382590.7324777255,0.0,382590.7324777255,1140.1899343696184,0.0
SKU04831,Home & Kitchen,Storage & Containers,2025-08-31,686,0,7,160,5.962148029164733,79.84822559804851,0.0,193.3362002637829,686,165.96214802916472,0.0,119.77233839707277,566.2276616029272,False,True,Markdown / Clear,Review markdown / clearance,672.2,856.16,0.0,380618.2341294877,380618.2341294877,0.0,566.2276616029272
SKU01834,Apparel & Footwear,Men's Wear,2025-09-02,350,0,7,108,5.191474695524731,72.67035553383548,0.0,186.1583301995699,350,113.19147469552473,0.0,109.00553330075321,240.9944666992468,False,True,Markdown / Clear,Review markdown / clearance,1570.25,2159.15,0.0,378421.5613344923,378421.5613344923,0.0,240.9944666992468
SKU03863,Electronics & Accessories,Small Appliances,2025-08-23,424,0,7,77,5.216285365989577,72.24704506973792,0.0,185.73501973547232,424,82.21628536598958,0.0,108.37056760460689,315.6294323953931,False,True,Markdown / Clear,Review markdown / clearance,1180.8,1941.52,0.0,372695.23377248016,372695.23377248016,0.0,315.6294323953931
